vi mode,input mode,command mode
arrow keys - move cursor,<ESC> to vi mode,:q - quit
h j k l - move cursor,i - insert,:q! - quit no save
CTL-f - forward screen,a - append,:w - write
CTL-b - backward screen,A - append at EOL,:wq - write and quit
G - end of file,O - open line,:num goto line num
x - delete character,r - replace character,/str - find str
dw - delete word,R - overwrite,:set all - vi settings
dd - delete line,,:r file - import file
yy - copy line in buffer,,:set nu – display line number
D - delete to EOL,,:set nonu – turn off line number
p - paste/put buffer,,
u - undo last command,,
CTL-r - redo last undo (linux/vim),,
. - repeat last editing command,,
n - find next occurrence of string,,
cw - change word,,
# command - repeate command # times,,
